Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
-,-,-,-,Enero,2020,1,0,0,0,-,-,-,-,-,-,-
-,-,-,-,Febrero,2020,1,0,0,0,-,-,-,-,-,-,-
-,-,-,-,Marzo,2020,1,0,0,0,-,-,-,-,-,-,-
-,-,-,-,Abril,2020,1,0,0,0,-,-,-,-,-,-,-
38,25,"254,439.00","811,646.00",Mayo,2020,1,0,0,0,"557,095.00","137,544.00","117,007.00",-,-,-,-
39,24,"248,738.00","1,024,395.00",Junio,2020,1,0,0,0,"694,198.00","182,774.00","147,423.00",-,-,-,-
38,24,"237,267.00","967,217.00",Julio,2020,1,0,0,0,"659,557.00","170,705.00","136,955.00",-,-,-,-
36,18,"232,032.00","1,006,437.00",Agosto,2020,1,0,0,0,"687,297.00","173,924.00","145,216.00",-,-,-,-
37,21,"230,899.00","1,007,431.00",Septiembre,2020,1,0,0,0,"691,080.00","176,052.00","140,299.00",-,-,-,-
40,24,"261,049.00","1,089,348.00",Octubre,2020,1,0,0,0,"751,294.00","185,865.00","152,189.00",-,-,-,-
40,24,"246,335.00","1,004,211.00",Noviembre,2020,1,0,0,0,"682,783.00","175,643.00","145,785.00",-,-,-,-
41,23,"252,716.00","1,081,061.00",Diciembre,2020,1,0,0,0,"725,208.00","211,259.00","144,594.00",-,-,-,-
45,23,"253,418.00","1,023,711.00",Enero,2021,1,0,0,0,"683,681.00","200,547.00","139,483.00",-,-,-,-
43,23,"230,772.00","984,787.00",Febrero,2021,1,0,0,0,"663,664.00","192,192.00","128,931.00",-,-,-,-
45,23,"269,886.00","1,231,523.00",Marzo,2021,1,0,0,0,"828,614.00","241,118.00","161,791.00",-,-,-,-
45,23,"257,336.00","1,186,265.00",Abril,2021,1,0,0,0,"800,028.00","231,081.00","155,156.00",-,-,-,-
45,23,"266,622.00","1,247,789.00",Mayo,2021,1,0,0,0,"833,248.00","249,167.00","165,374.00",-,-,-,-
45,24,"282,183.00","1,302,781.00",Junio,2021,1,0,0,0,"867,586.00","262,763.00","172,432.00",-,-,-,-
45,24,"292,874.00","1,342,922.00",Julio,2021,1,0,0,0,"890,752.00","271,466.00","180,704.00",-,-,-,-
45,24,"286,761.00","1,246,082.00",Agosto,2021,1,0,0,0,"825,988.00","249,379.00","170,715.00",-,-,-,-
