Year,Poblacion_total,code
1995,219153.0,070000190006
2000,283497.0,070000190006
2005,418784.0,070000190006
2010,523370.0,070000190006
2020,656464.0,070000190006
1995,62440.0,070000190009
2000,75059.0,070000190009
2005,73746.0,070000190009
2010,86445.0,070000190009
2020,122337.0,070000190009
1995,6168.0,070000190010
2000,6644.0,070000190010
2005,6996.0,070000190010
2010,16092.0,070000190010
2020,104478.0,070000190010
1995,23981.0,070000190018
2000,28974.0,070000190018
2005,51658.0,070000190018
2010,143668.0,070000190018
2020,397205.0,070000190018
1995,120913.0,070000190019
2000,125978.0,070000190019
2005,122009.0,070000190019
2010,122659.0,070000190019
2020,132169.0,070000190019
1995,176869.0,070000190021
2000,233457.0,070000190021
2005,299364.0,070000190021
2010,357937.0,070000190021
2020,481213.0,070000190021
1995,618933.0,070000190026
2000,670162.0,070000190026
2005,691931.0,070000190026
2010,678006.0,070000190026
2020,643143.0,070000190026
1995,50009.0,070000190031
2000,66497.0,070000190031
2005,144380.0,070000190031
2010,256970.0,070000190031
2020,471523.0,070000190031
1995,1088143.0,070000190039
2000,1110997.0,070000190039
2005,1133814.0,070000190039
2010,1135550.0,070000190039
2020,1142994.0,070000190039
1995,15925.0,070000190045
2000,19024.0,070000190045
2005,27848.0,070000190045
2010,32660.0,070000190045
2020,86766.0,070000190045
1995,487924.0,070000190046
2000,496878.0,070000190046
2005,476761.0,070000190046
2010,443273.0,070000190046
2020,412199.0,070000190046
1995,202156.0,070000190048
2000,227026.0,070000190048
2005,259896.0,070000190048
2010,268955.0,070000190048
2020,306322.0,070000190048
1995,34187.0,070000190049
2000,36812.0,070000190049
2005,37886.0,070000190049
2010,40469.0,070000190049
2020,46784.0,070000190049
