Year,Poblacion_total,code
1995,219153.0,70000190006
2000,283497.0,70000190006
2005,418784.0,70000190006
2010,523370.0,70000190006
2020,656464.0,70000190006
1995,62440.0,70000190009
2000,75059.0,70000190009
2005,73746.0,70000190009
2010,86445.0,70000190009
2020,122337.0,70000190009
1995,6168.0,70000190010
2000,6644.0,70000190010
2005,6996.0,70000190010
2010,16092.0,70000190010
2020,104478.0,70000190010
1995,23981.0,70000190018
2000,28974.0,70000190018
2005,51658.0,70000190018
2010,143668.0,70000190018
2020,397205.0,70000190018
1995,120913.0,70000190019
2000,125978.0,70000190019
2005,122009.0,70000190019
2010,122659.0,70000190019
2020,132169.0,70000190019
1995,176869.0,70000190021
2000,233457.0,70000190021
2005,299364.0,70000190021
2010,357937.0,70000190021
2020,481213.0,70000190021
1995,618933.0,70000190026
2000,670162.0,70000190026
2005,691931.0,70000190026
2010,678006.0,70000190026
2020,643143.0,70000190026
1995,50009.0,70000190031
2000,66497.0,70000190031
2005,144380.0,70000190031
2010,256970.0,70000190031
2020,471523.0,70000190031
1995,1088143.0,70000190039
2000,1110997.0,70000190039
2005,1133814.0,70000190039
2010,1135550.0,70000190039
2020,1142994.0,70000190039
1995,15925.0,70000190045
2000,19024.0,70000190045
2005,27848.0,70000190045
2010,32660.0,70000190045
2020,86766.0,70000190045
1995,487924.0,70000190046
2000,496878.0,70000190046
2005,476761.0,70000190046
2010,443273.0,70000190046
2020,412199.0,70000190046
1995,202156.0,70000190048
2000,227026.0,70000190048
2005,259896.0,70000190048
2010,268955.0,70000190048
2020,306322.0,70000190048
1995,34187.0,70000190049
2000,36812.0,70000190049
2005,37886.0,70000190049
2010,40469.0,70000190049
2020,46784.0,70000190049
2021,652084.3128662109,70000190006
2022,644190.0446777344,70000190006
2023,631941.7247314453,70000190006
2024,615068.3448486328,70000190006
2021,129272.32382965088,70000190009
2022,136706.32920074463,70000190009
2023,144873.13132476807,70000190009
2024,153812.4098892212,70000190009
2021,120773.4818725586,70000190010
2022,138777.36981201172,70000190010
2023,158552.25354003906,70000190010
2024,180179.99151611328,70000190010
2021,430185.73027038574,70000190018
2022,463792.694732666,70000190018
2023,498461.02502441406,70000190018
2024,534161.1427154541,70000190018
2021,135252.54174041748,70000190019
2022,138738.352104187,70000190019
2023,142740.33408355713,70000190019
2024,147290.40538787842,70000190019
2021,492715.1759490967,70000190021
2022,504196.83668518066,70000190021
2023,515518.8013114929,70000190021
2024,526669.4031143188,70000190021
2021,641154.6233520508,70000190026
2022,640113.2659912109,70000190026
2023,639961.2650146484,70000190026
2024,640809.1641845703,70000190026
2021,485721.9058227539,70000190031
2022,497680.10443115234,70000190031
2023,507193.87786865234,70000190031
2024,514039.4037475586,70000190031
2021,1143297.2623062134,70000190039
2022,1143907.3787155151,70000190039
2023,1144644.9204483032,70000190039
2024,1145535.7831954956,70000190039
2021,95808.1092453003,70000190045
2022,105865.467918396,70000190045
2023,116855.04235076904,70000190045
2024,128821.43492889404,70000190045
2021,415778.4123535156,70000190046
2022,421167.31494140625,70000190046
2023,428491.57763671875,70000190046
2024,437893.7935180664,70000190046
2021,310061.0496826172,70000190048
2022,314307.4385757446,70000190048
2023,318792.1168899536,70000190048
2024,323540.2112197876,70000190048
2021,47783.39798927307,70000190049
2022,48838.89684486389,70000190049
2023,49975.54941368103,70000190049
2024,51197.7983417511,70000190049
