Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
38.0,25.0,254.439,811646.0,Mayo,2020,1,0,0,0,557095,137544,117007,,,,
39.0,24.0,248.738,1024395.0,Junio,2020,1,0,0,0,694198,182774,147423,,,,
38.0,24.0,237.267,967217.0,Julio,2020,1,0,0,0,659557,170705,136955,,,,
36.0,18.0,232.032,1006437.0,Agosto,2020,1,0,0,0,687297,173924,145216,,,,
37.0,21.0,230.899,1007431.0,Septiembre,2020,1,0,0,0,691080,176052,140299,,,,
40.0,24.0,261.049,1089348.0,Octubre,2020,1,0,0,0,751294,185865,152189,,,,
40.0,24.0,246.335,1004211.0,Noviembre,2020,1,0,0,0,682783,175643,145785,,,,
41.0,23.0,252.716,1081061.0,Diciembre,2020,1,0,0,0,725208,211259,144594,,,,
45.0,23.0,253.418,1023711.0,Enero,2021,1,0,0,0,683681,200547,139483,,,,
43.0,23.0,230.772,984787.0,Febrero,2021,1,0,0,0,663664,192192,128931,,,,
45.0,23.0,269.886,1231523.0,Marzo,2021,1,0,0,0,828614,241118,161791,,,,
45.0,23.0,257.336,1186265.0,Abril,2021,1,0,0,0,800028,231081,155156,,,,
45.0,23.0,266.622,1247789.0,Mayo,2021,1,0,0,0,833248,249167,165374,,,,
45.0,24.0,282.183,1302781.0,Junio,2021,1,0,0,0,867586,262763,172432,,,,
45.0,24.0,292.874,1342922.0,Julio,2021,1,0,0,0,890752,271466,180704,,,,
45.0,24.0,286.761,1246082.0,Agosto,2021,1,0,0,0,825988,249379,170715,,,,
45.0,24.0,279.783,1251980.0,Septiembre,2021,1,0,0,0,828361,252492,171127,,,,
45.0,24.0,286.021,1324625.0,Octubre,2021,1,0,0,0,874660,262650,187315,,,,
